id,text,emotion
101,A tristeza é um espinho que se aloja em meu coração.,Tristeza
102,A solidão é um vazio que nada pode preencher.,Tristeza
103,"Às vezes, sinto como se estivesse preso em um pesadelo sem fim.",Tristeza
104,A tristeza é uma sombra que me segue aonde quer que eu vá.,Tristeza
105,A dor é um fardo pesado demais para carregar.,Tristeza
106,"Às vezes, sinto como se estivesse vivendo em um mundo de mentiras.",Tristeza
107,A tristeza é um monstro que me assombra todas as noites.,Tristeza
108,Sinto como se estivesse sempre à beira do precipício.,Tristeza
109,A solidão é um mar sem fim.,Tristeza
110,"Às vezes, sinto como se estivesse preso em um labirinto sem saída.",Tristeza
111,A dor é um demônio que me persegue todos os dias.,Tristeza
112,"Às vezes, sinto como se estivesse vivendo em um mundo sem esperança.",Tristeza
113,A tristeza é um lobo solitário que uiva à noite.,Tristeza
114,Sinto como se estivesse sempre lutando contra um vento forte.,Tristeza
115,A solidão é um buraco negro que engole tudo o que há de bom em mim.,Tristeza
116,A tristeza é um abismo que me suga para baixo.,Tristeza
117,A dor é um fantasma que me assombra todas as noites.,Tristeza
118,"Às vezes, sinto como se estivesse vivendo em um mundo sem amor.",Tristeza
119,A tristeza é um monstro que me consome lentamente.,Tristeza
120,A dor é um vício que não consigo largar.,Tristeza
121,A solidão é um fogo que queima por dentro.,Tristeza
122,A dor é um espinho que se aloja em meu coração.,Tristeza
123,A tristeza me consome por dentro.,Tristeza
124,A dor que sinto é insuportável.,Tristeza
125,Não vejo a hora de acabar com essa dor.,Tristeza
126,A solidão é uma companhia cruel.,Tristeza
127,Sinto falta do que nunca tive.,Tristeza
128,Meu mundo desmoronou diante dos meus olhos.,Tristeza
129,Não consigo mais sorrir como antes.,Tristeza
130,As lágrimas não param de cair.,Tristeza
131,O vazio dentro de mim é enorme.,Tristeza
132,Não há nada que possa me consolar.,Tristeza
133,A tristeza é uma nuvem que me segue.,Tristeza
134,Minha alma está cansada de tanto sofrer.,Tristeza
135,Sinto uma dor que não passa.,Tristeza
136,Meu coração está afundando em tristeza.,Tristeza
137,A saudade dói demais.,Tristeza
138,Não vejo mais sentido na vida.,Tristeza
139,A dor é tão forte que não consigo respirar.,Tristeza
140,Tudo ao meu redor parece cinza.,Tristeza
141,Me sinto sozinho mesmo estando acompanhado.,Tristeza
142,A tristeza é como uma ferida que não cicatriza.,Tristeza
143,Sinto falta do que já não existe mais.,Tristeza
144,O futuro parece sombrio e sem esperança.,Tristeza
145,Não há nada que possa me fazer feliz de novo.,Tristeza
146,A dor é tanta que não cabe em mim.,Tristeza
147,Sinto que perdi tudo o que um dia tive.,Tristeza
148,A tristeza é como uma doença que me consome.,Tristeza
149,Não encontro forças para seguir em frente.,Tristeza
150,A dor é como uma faca que corta minha alma.,Tristeza
151,Sinto que nada mais faz sentido.,Tristeza
152,A tristeza é como um buraco negro que me suga.,Tristeza
153,Não consigo mais ver beleza nas coisas.,Tristeza
154,A dor é como um fogo que queima sem parar.,Tristeza
155,Meu coração está em pedaços.,Tristeza
156,A tristeza é como um peso que carrego nas costas.,Tristeza
157,Sinto falta de algo que nem sei o que é.,Tristeza
158,Não há nada que possa me trazer de volta.,Tristeza
159,A dor é como uma tempestade que não passa.,Tristeza
160,Sinto que o mundo não é mais o mesmo.,Tristeza
161,A tristeza é como uma prisão que me aprisiona.,Tristeza
162,Não vejo mais luz no fim do túnel.,Tristeza
163,A dor é como um veneno que me mata aos poucos.,Tristeza
164,Sinto que perdi a mim mesmo.,Tristeza
165,A tristeza é como uma sombra que me segue.,Tristeza
166,Não há nada que possa preencher o vazio dentro de mim.,Tristeza
167,A dor é como um abismo que me engole.,Tristeza
168,Sinto que não tenho mais razões para viver.,Tristeza
169,A tristeza é como um fantasma que me assombra.,Tristeza
170,Não consigo mais encontrar a felicidade.,Tristeza
171,A dor é como uma corda que me sufoca.,Tristeza
172,Sinto que perdi a fé na vida.,Tristeza
173,A tristeza é como um terremoto que abala minhas estruturas.,Tristeza
174,Não há nada que possa me fazer esquecer.,Tristeza
175,A dor é como um corte que não para de sangrar.,Tristeza
176,Sinto que tudo o que eu tinha se foi.,Tristeza
177,A tristeza é como um veneno que me envenena.,Tristeza
178,Não vejo mais sentido em nada.,Tristeza
179,A dor é como um martelo que me esmaga.,Tristeza
180,Sinto que estou preso em um labirinto sem saída.,Tristeza
181,A tristeza é como uma névoa que me cega.,Tristeza
182,Não há nada que possa curar essa dor.,Tristeza
183,A dor é como uma ferida que não cicatriza.,Tristeza
184,Sinto que perdi a vontade de viver.,Tristeza
185,Não consigo mais encontrar a luz.,Tristeza
186,A dor é como um fardo que me pesa.,Tristeza
187,Sinto que estou perdido em um mar de tristeza.,Tristeza
188,A tristeza é como um furacão que me arrasta.,Tristeza
189,A dor é como uma lança que me perfura.,Tristeza
190,Sinto que estou em um beco sem saída.,Tristeza
191,A tristeza é como uma tempestade que me assola.,Tristeza
192,Não vejo mais saída para essa dor.,Tristeza
193,A dor é como uma nuvem negra que me segue.,Tristeza
194,Sinto que perdi o rumo da vida.,Tristeza
195,A tristeza é como uma correnteza que me arrasta.,Tristeza
196,Não há nada que possa me tirar desse abismo.,Tristeza
197,A dor é como um tiro no peito.,Tristeza
198,Sinto que tudo está perdido.,Tristeza
199,A tristeza é como uma prisão sem grades.,Tristeza
200,A dor é como um golpe que me derruba.,Tristeza
201,Sinto que estou sozinho nesse mundo.,Tristeza
202,A tristeza é como uma ferida que não sara.,Tristeza
203,Não há nada que possa me devolver a esperança.,Tristeza
204,A dor é como uma mão que aperta meu coração.,Tristeza
205,Sinto que não tenho mais forças para lutar.,Tristeza
206,Não consigo mais encontrar a alegria de viver.,Tristeza
207,A dor é como um espinho que se crava em mim.,Tristeza
208,Sinto que estou afundando em um mar de tristeza.,Tristeza
209,A tristeza é como um labirinto sem saída.,Tristeza
210,Não há nada que possa me fazer sorrir novamente.,Tristeza
211,Sinto que perdi tudo o que um dia amei.,Tristeza
212,A tristeza é como uma tempestade que não passa.,Tristeza
213,Não consigo mais encontrar o caminho de volta.,Tristeza
214,A dor é como um vazio que não pode ser preenchido.,Tristeza
215,Sinto que estou perdido em um oceano de tristeza.,Tristeza
216,eu sou a mãe mais triste do mundo jimin eu te amo demais ):),Tristeza
217,mais uma sexta-feira de tristeza :),Tristeza
218,Eu só queria não estar SEMPRE triste :) cansativo,Tristeza
219,Deitada; Ouvindo músicas tristes; em pleno feriado Eu mesma rs :),Tristeza
220,Ai já resolvi sobre os doces :) Sou a pessoa mais feliz e triste do mundo,Tristeza
221,Aproveitando o estado de tristeza por eleição é problema familiar,Tristeza
222,um tweet bem sincero. o meu coração se entristeceu pois nos últimos dias vi e escutei tantos absurdos... e para a minha saúde mental e paz,Tristeza
223,vejo que tem muita gente triste na minha tml. gostaria de dizer que mesmo que não sejamos próximos,Tristeza
224,Olha que delicia receber mensagem assim de bolsominion numa segunda feira chuvosa e triste! Facistas não passarão! Um ser desse não me atinge,Tristeza
225,fico triste pa carai qando tweeto uma petição pela natireza ou pelos animais e ela tem tipo 200 visualizações mas só 2 cliqes no link. eu deveria aceitar q ninguém tá nem aí pra natureza pros animais ou qalqer coisa q n seja seu próprio umbigo :),Tristeza
226,Problema que minha mãe fica triste,Tristeza
227,Fiquei bué triste c aquilo mas prontos,Tristeza
228,eu tô bastante triste agora,Tristeza
229,Finalmente Uma Madruga Em Que Eu Não Estou Me Sentindo Triste :),Tristeza
230,Eu só não sei mais como existir e isso tem sido triste :):,Tristeza
231,Triste,Tristeza
232,Me entristece ver que Ciro não ficou no Lugar de Haddad... Mas me Alegra saber que Daciolo Aqui tem mais moral que Alckmin :D :D,Tristeza
233,Eu estava triste e devastada,Tristeza
234,mt triste com a situ mas de barriga cheia com comidinha dlç que p victor fez :p,Tristeza
235,tá triste? aí vou falar com a kamilla pra ela me dar conselhos mais amanhã finjo q ela não existe tá entediada? aí vou falar com a kamilla p gente fazer alguma coisa já que ninguém mais me deu atenção mais depois vou sair com quem tá cagando pra mim :),Tristeza
236,vou chegar no cursinho amanhã com olheiras e tristeza :),Tristeza
237,Para de ser triste cara as pessoas gostam muito de ti — Acho que eu sou míope de verdade pq eu nunca vejo essas pessoas,Tristeza
238,Eu n teria capacidade pra ser mãe jovem. Tenho vergonha da minha sobrinha descobrir q vivo triste,Tristeza
239,É triste demais fazer as coisas com tanto carinho e dedicação,Tristeza
240,com sono e triste :),Tristeza
241,Podem-me mandar mensagens fofinhas? Estou muito triste :)),Tristeza
242,ÓTIMO tô nervosa/chateada/insegura/bolada/triste/e sei lá mais oque e agora minha gastrite tá dando sinais de vida :),Tristeza
243,mto triste pq acordei tarde :P,Tristeza
244,hoje de manhã fiquei bué triste porque andei à procura de roupa rosa e cheguei à conclusão de que não tenho nada :),Tristeza
245,me deixa entristecida que meu inconsciente gritou e rasgou meu cu na análise e a fudida entendeu e escutou? não né mores :D "Que o caminho se faz. Entre o alvo e a seta",Tristeza
246,Tava bué feliz por tar a ficar sem acne mas agora tenho três picadas de mosquito que me ocupam metade da cara e já tou triste outra vez :-),Tristeza
247,Estou triste pq tenho prova de matemática hoje mas também estou feliz pq amanhã é depois não tenho aula :( :) é isso,Tristeza
248,triste ir na casa de amigos e ver como a vida deles é boa e feliz enquanto vc é toda fudida e sua família é uma merda :))),Tristeza
249,ótimo agr vou dormir triste e nem querendo acordar amanhã :D,Tristeza
250,é bem complicado quando você não consegue se sentir segura das coisas. a insegurança te leva a pensar e fazer algumas merdas. é triste,Tristeza
251,PARA DE FALAR DE POLÍTICA BANDO DE CHATO DO CARALHO,Raiva
252,Rochele filha da puta. merecia uma coça,Raiva
253,A CARA DAS FILHAS DA PUTA QUE TENTARAM TOMBAR O NOSSO SQUAD SEM MOTIVO,Raiva
254,Mas aproveitando a deixa: você pode ser MACHISTA HOMOFOBICO MISOGINO XENOFOBICO RACISTA E UM BELO FILHA DA PUTA à vontade... todo mundo vai entender quando você abrir a boca pra vomitar a favor do BOZOnaro! :) #EleNão,Raiva
255,Agorah falando de coisa séria Minha família não quer mais que eu me monte se o filha da puta lá se eleger pois: medo E eu fiquei tão triste afff :(,Raiva
256,hj foi um dia que acordei triste angustiada e sem forças com todo esse cenário político e com esses carros cagando na rua com o adesivo desse filha da puta do caralho. ai to muito revoltada e desacreditada :((((,Raiva
257,katia abreu filhadaputa doidona,Raiva
258,amas ela eh tao linda.... :( FILHA DA PUTAAAAAA eu ainda gosto de tu.... desgraçada.,Raiva
259,pros filhos da puta que acham que Rio é só favela :),Raiva
260,ces entregaram essa merda de mão beijada. Obrigada filhos d'uma puta :),Raiva
261,que vontade de esganar alguém ou matar um filho da puta a soco :),Raiva
262,Chaves 2 - 2 filhos da puta :D,Raiva
263,"""Então e és de onde? "" - :D ....... Santo André ""..... ??????"" - Sines? Santiago? ""Ah sim sim sim sim sim sim sim já sei"" Filhos da puta.",Raiva
264,filho da puta :))))),Raiva
265,Descobri que tô rodeado de filhos da putas que se dizem meus amigos mas querem sempre foder um pouquinho a mais minha vida :D,Raiva
266,o haddad pra mim e a unica esperança de vdd que a gente possa tirar esse filho da puta dai e deixar esse longe da presidencia ver isso me deixa com tanto medo mano pfvr nao pode acontecer :(,Raiva
267,tem horas que eu quero arrancar toda a pele do meu corpo de tanto nervoso :),Raiva
268,vai tomar no cu porraaaaaa.... foda se caralho... Bando de merda!!! Tchau :),Raiva
269,vai tomar no cu :),Raiva
270,Aproveitando os últimos momentos de liberdade p mandar todo mundo tomar no cu,Raiva
271,vou tomar no cu que tenho nem dinheiro pra ir pra outro estado quanto mais pra outro país kk :(,Raiva
272,Indo dormir preocupadíssimo com os rumos que essa eleição ta tomando Tudo indica que aquele que não deve ser nomeado vai tomar o poder MESMO,Raiva
273,Vai tomar no cu que saudade maldita :(,Raiva
274,Toma no cu vídeo maldito n devia ter assistido :(,Raiva
275,Vai tomar no cu lei do krl Haechan volta pfvr :((((,Raiva
276,ser sapatao é uma batalha diária tomar no cu chorar fumar um e ri enquanto chora arrumar uma crush menor de idade e hétero :( mas continuar pensando no "amor da sua vida" DIARIAMENTE SOS meachuta,Raiva
277,Burro é o povo daqui de baixo que é tudo pobre e se acha rico pra votar em um cara q quer mais é fuder mais c os pobres,Raiva
278,2hrs e eu me declarando pra pessoa q eu gosto e tenho certeza q vou me fuder :),Raiva
279,vou ser mesária em um dos colégios eleitorais mais escrotos do jurunas. vou me fuder valendo domingo! :),Raiva
280,q vontade de mandar tudo mundo se fuder :),Raiva
281,unica coisa boa dessas eleiçoes pra mim: comecei a meditar pq eu tava ficando louca agora estou calmissima mandando nazi se fuder hihi :),Raiva
282,Antes eu tinha mó preocupação com as coisas q eu postava lá mas agr eu to foda-se posto oq quiser e se n gostar vai ter q me excluir :),Raiva
283,Foda-se aula amanhã. Vou focar em ficar bem e dormir pra sempre. :),Raiva
284,o pior foi que eu achei que era brincadeira e fiz um "hehehhehe ata" ai me toquei que n era pq ela continuou com o mesmo sorrisinho de "foda-se :)",Raiva
285,Hoje gritei “foda-se” bue alto quando tava a dormir pelo o que a minha irma diz :),Raiva
286,meu padrasto desligou o roteador pq eu tava cantando rap. 1 eu tenho plano foda-se a net dele 2 vai passar o dia todo sem internet,Raiva
287,eu esqueci do mundial denovo galera :D foda-se esse ano ta uma merda mesmo capaz de alguém da europa ganhar esse ano KKKK que seja a fantix,Raiva
288,ódio do meu wi-fi :),Raiva
289,raiva de você,Raiva
290,estou puto da vida com isso,Raiva
291,vc não faz ideia da raiva que tenho de voce,Raiva
292,Estou com raiva dessa pessoa,Raiva
293,me da tanto ódio esperar por isso,Raiva
294,"não quero mais que me enganem dessa forma, chega de ser besta!!",Raiva
295,estou tão insatisfeito com meu serviço me da até raiva,Raiva
296,"injustiça me causa uma furia tremenda, pqp",Raiva
297,puta que pariu por que você é tão burro?,Raiva
298,que raiva disso,Raiva
299,ódio de quando estou dando meu melhor e não tenho reconhecimento!,Raiva
300,"Por hora, a melhor coisa a fazer é parar de ser otário!",Raiva
301,Tive um sonho que só de lembrar me deixa com raiva!!!! E to quase empurrando o Leonardo da cama :),Raiva
302,nossa nesses últimos 2 dias eu ganhei 5 inimigos parabens vcs ganharam o lorenzo com raiva de vcs e isso n é uma coisa boa n :),Raiva
303,gente gritem com a cara em um travesseiro/almofada ajuda muito a aliviar a raiva :),Raiva
304,sinceramente eu sinta RAIVA de gente que paga de boa pessoa,Raiva
305,Que raiva :),Raiva
306,Eu posso até nao falar nada .. Mas eu sinto uns ciúmes loucos que meu corpo ferve de raiva ,Raiva
307,to passando mtt raiva pq duas letras minhas que eram simples tão me dando mais trabalho que as trabalhosas :),Raiva
308,Oh gente ces n tem noção da minha raiva q a uneb abriu pra isenção e n divulgou nada,Raiva
309,Uma outra felicidade de hoje mas com um mix de raivafoi: errei so uma questão fechada da prova,Raiva
310,este dia está a ser lindo desde q começou :))) q raiva,Raiva
311,MORRO de raiva quando mando mil mensagens com mil assuntos diferentes e a pessoa resolve responder apenas o ultimo assunto :),Raiva
312,Mas depois da raiva mortal que eu sinto,Raiva
313,será que eu saio de casa pra passar raiva ou passo raiva em casa msm? :),Raiva
314,eu tô com tanta tanta tanta tanta raiva que seria capaz de matar um :),Raiva
315,Peguei Alice a força p aplicar a injeção contra raiva e ela tá com raiva de mim,Raiva
316,Acabei de ter um ataque de raiva :),Raiva
317,Tenho de tomar a vacina contra a raiva,Raiva
318,Melhor palavra q a Sofia me ensinou: “Ranço”. Ranço para quem não sabe é usado para descrever o sentimento de raiva ou desprezo que uma pessoa pode ter por algo ou alguém. :))))),Raiva
319,Eu to com tanta raiva pq meu pai acordou hj de boa,Raiva
320,Com minha carteira de motorista e um cartão de crédito! :( mas o pior mesmo foi a bolsa! Aff que raiva,Raiva
321,Comprei livros pelo site da Saraiva,Raiva
322,Mas abrir os olhos de muita gente com relação a isso é que é o ponto! E essa galera que tem raiva do PT e não vota de jeito nenhum,Raiva
323,ai que raiva,Raiva
324,Meu prof tá doente não pode passar raiva :( KKkkk,Raiva
325,me arrependo horrores dps de umas palavras impulsivas q saem no momento de raiva com minha mãe :(( mas ela tb não mede seus argumentos ofensivos,Raiva
326,Que raiva desse tempo,Raiva
327,Eu tô com tanta raiva de vc Q porra Inferno A única coisa q eu queria era te abraçar Mas porra mano SE TA FODA E FICA ANDANDO COM ESSAS PESSOAS TÓXICAS acho q tô perdendo um amigo :(,Raiva
328,que raiva,Raiva
329,to com raiva tá tudo flopando a :(,Raiva
330,a julia tá c raiva de mim :(,Raiva
331,Que raiva :(,Raiva
332,meu irmao me da tudo oq eu quero e um pouco mais e eu só dou raiva pra ele q saco :( me sinto um lixo,Raiva
333,Pessoas não podem votar porque têm medo ou raiva,Raiva
334,Pessoas não podem votar porque têm medo ou porque têm raiva,Raiva
335,vou desativar ate o fim das eleiçoes pra n cometer um crime de odio :),Raiva
336,Odio ver penaltis :),Raiva
337,Resumindo: qqer proposito exige que seja contada uma historia. E essa historia q os fãs vão acompanhar. Faça seu canal no youtube ser como um seriado da Netflix. Q os fãs esperem e queiram assistir o proximo episodio. :-),Raiva
338,consertei o zap e agora a minha irma pego meu carregador e sp volta mais tarde odio :),Raiva
339,Oi meninas to tendo um ataque de odio pois n consigo confiar em ninguém :))))))),Raiva
340,otimo me fudi e n vou na terapia hj q eu tanto qria e precisava por conta dessa merda dessa chuva :) caralho q odio,Raiva
341,Indi p minha faculdade movida a força do odio :),Raiva
342,gente e serio eu to com muita dor no corpo kkk eu to muito tensionada por causa das eleições :( q odio,Raiva
343,que odio eu queria MUITO falar com uma pessoa mas eu não tenho coragem :(,Raiva
344,Odio no poder dormir :(,Raiva
345,Odio no poder dormir por este dolor :(,Raiva
346,Ptm como me odio &gt;:(,Raiva
347,na moral to me esforçando mto pra assistir serie sozinho mas aparentemente preciso de uma companhia nao consigo ver mais q 1 episodio de uma vez eu fico me sentindo estranho nao sei explica falta algo e so consigo pensa q falta alguem pra comenta o episodio cmg :(,Raiva
348,o jeongguk mesmo no escurinho é a coisa mais linda da minha vida queria tá ali do lado dele ouvindo aquela voz melodiosa e sentindo o coração saltar :(((,Raiva
349,episodio 12 de banana fish e n tem mais pra assistir :(,Raiva
350,eu juro qu o salnorabo eh o único ser humano q eu sinto um odio descomunal e q se morresse eu ia fica: que pena :(( Stan list ✨,Raiva
351,Meu pai veio doar sangue e eu bem desconfortavel (e com odio) porque nao posso doar :(,Raiva
352,Odio ser zurda,Raiva
353,eu tô tão exausta e não consigo dormir que odio :(,Raiva
354,PORRA PAULISTAS E PAULISTANOS (as)... DORIA E BOLSOLIXO..... QUE MERDA QUE VOCÊS TEM NA CABEÇA!!!! A MAIORIA DE VCS NÃO SÃO DA ELITE!! PARA DE FODER O BRASIL TODO MERDA!!! como diria o Chris VOCÊS SÃO POBRES E SOBERBOS #PrayForBrazil #FicaTemer Valeu Nordeste :),Raiva
355,NÃO TE PERGUNTEI PORRA NENHUMA TLGD TO NA MINHA E VEM FALA BOSTA,Raiva
356,porra :-) alguém me dá um tiro ou um cartucho da minha impressora,Raiva
357,agr vao la viver a porra do romance ridiculo de vcs e parem de estragar e prejudicar pessoas q n tem nd a ver com vcs doisss :),Raiva
358,PORRA PAQUETÁ,Raiva
359,Que se foda a porra toda :D,Raiva
360,eu para descobrir as coisas tenho porras,Raiva
361,Tenho q dar ouvidos a porra da música da Dua Lipa :),Raiva
362,sinto um ALÍVIO depois de ver um conteúdo q tava atrasado e do qual PRECISO saber n só pra prova mas pra vida tbm pq porra como assim cê n sabe isso bicha leiga acha bonito ser burra iara foi estudar nox faltando um mes pra prova :),Raiva
363,:)) meu tio trouxe a duda de novo :)) sendo que eu não to nada bem pra ficar cuidando de criança :))))) vai toma no cu porra inferno vai se foder :))),Raiva
364,entao n fode porra vai perturbar outro pq meu ouvido n eh penico :),Raiva
365,Vamos CATAR esse Hexa porra,Raiva
366,ex bom pra mim é ex FELIZ e bem longe de mim. LONGE DE MIM. Porém quando eu falo longe é BEM LONGE MESMO CARALHO COLOCA LONGE. :) loooonge pra porra :) bem longe. LONGE. L O N G E D E M I M L O N G E D E M I M *,Raiva
367,ela responde que nada MAS CONTINUA OLHANDO PRA MIA FUCKING CARA não quero ser grossa a ponto de falar: para de olhar pra mim porra mas tirando isso,Raiva
368,cês fica postando mene de comunismo toda hora por isso q o povo acha q saporra ainda existe/é uma ameaça. :P,Raiva
369,Bom dia SÓ PRA QUEM VOTA NO CIRO o resto é “porra filha duma puta vota no ciroooooo” :),Raiva
370,pena que esse ativismo de internet resolve porra nenhuma :),Raiva
371,Meu dinheiro acabou e pergunte se eu paguei minha conta pra voltar a VIVO nesta porra de celular :))))),Raiva
372,e é numa matéria que o pessoal dos outros semestres sempre diziam “mano a prova dela é mo fudida tem que estudar pra porra” aí eu fiquei “carai não consegui estudar to inteiro afundado na merda” no final ganhei um parabéns :))),Raiva
373,Enfia Odisséia : Chacina NA PORRA DO CU. -Boa noite :),Raiva
374,to atrasada e essa porra que nao baixa :D,Raiva
375,acabei de assistir essa porra,Raiva
